,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,

,1,Bitcoin,24943.63,0.26,3.99%,6.61%,483981244626,18188951907,"19,402,931 BTC",,
,2,Ethereum,1640.60,0.15,5.78%,11.55%,197228940145,9939164077,"120,217,444 ETH",,
,3,Tether,0.999,0.02,0.08%,0.14%,83474520449,31014975965,"83,560,685,486 USDT",,
,4,BNB,232.52,0.32,5.97%,12.24%,36238664586,610840488,"155,853,834 BNB",,
,5,USD Coin,1.00,0.00,0.03%,0.01%,28164168967,6638381884,"28,158,433,417 USDC",,
,6,XRP,0.4746,0.67,5.49%,9.54%,24671087844,1683906646,"51,987,017,573 XRP",,
,7,Cardano,0.2578,0.72,6.02%,21.36%,9001245982,300009000,"34,914,561,134 ADA",,
,8,Dogecoin,0.06099,0.19,1.25%,10.53%,8509830685,321883727,"139,778,436,384 DOGE",,
,9,TRON,0.07037,0.21,3.15%,9.33%,6337966627,223336505,"90,069,585,835 TRX",,
,10,Solana,14.51,1.02,4.34%,23.09%,5790109627,397096228,"399,164,476 SOL",,
,11,Polygon,0.5886,0.52,9.98%,24.30%,5467886234,452255335,"9,289,469,069 MATIC",,
,12,Litecoin,73.58,0.09,5.14%,17.00%,5382354765,580696879,"73,150,327 LTC",,
,13,Polkadot,4.33,0.33,7.57%,13.98%,5180977915,203775139,"1,194,672,330 DOT",,
,14,Toncoin,1.38,0.32,8.21%,17.91%,4732645439,11036401,"3,431,892,088 TON",,
,15,Dai,0.9998,0.01,0.01%,0.00%,4597990327,554222803,"4,600,117,584 DAI",,
,16,Binance USD,0.9999,0.00,0.00%,0.00%,4505941615,3836638322,"4,506,547,150 BUSD",,
,17,Wrapped Bitcoin,24968.76,0.10,3.91%,6.35%,3913293383,185566094,"156,728 WBTC",,
,19,Avalanche,11.21,0.20,5.71%,20.14%,3867741841,184844537,"344,936,574 AVAX",,
,20,UNUS SED LEO,3.52,0.39,0.31%,0.05%,3275234391,795022,"930,095,651 LEO",,
,21,Cosmos,8.53,0.40,2.26%,10.62%,2955637262,94588771,"346,608,690 ATOM",,
,22,Chainlink,5.23,0.27,2.94%,12.96%,2706065044,201869052,"517,099,970 LINK",,
,23,Uniswap,4.30,0.02,5.12%,7.53%,2484208961,145051419,"577,501,036 UNI",,
,24,Monero,133.55,0.08,1.35%,6.97%,2442937257,75108826,"18,292,466 XMR",,
,25,OKB,39.33,0.16,3.93%,12.26%,2359595733,4871085,"60,000,000 OKB",,
